"doi_no","doi","record_index","start_line","end_line"
1,"10.1016/j.fcr.2025.110217","14; 17","680; 824","719; 870"
515,"10.1002/ldr.70203","2423; 76727","128709; 4057542","128769; 4057602"
203,"10.1007/s11104-025-07783-y","2424; 76390","128770; 4039958","128832; 4040020"
182,"10.1007/s11104-025-07910-9","2425; 76366","128833; 4038717","128888; 4038772"
405,"10.1111/rec.70205","2428; 76609","128991; 4051311","129038; 4051358"
559,"10.1002/ldr.70216","2429; 76778","129039; 4060179","129111; 4060251"
262,"10.1002/ps.70188","2431; 76458","129168; 4043437","129216; 4043485"
217,"10.1111/nph.70563","2440; 76408","129623; 4040850","129688; 4040915"
196,"10.1007/s11769-025-1557-7","2462; 76381","130760; 4039509","130808; 4039557"
219,"10.1007/s11104-025-07866-w","2468; 76410","131086; 4040969","131139; 4041022"
276,"10.1002/ldr.70212","2478; 76473","131577; 4044167","131624; 4044214"
473,"10.1002/advs.202510066","2479; 76681","131625; 4055160","131682; 4055217"
418,"10.1002/ps.70225","2485; 76623","131959; 4052057","132009; 4052107"
221,"10.1007/s12649-025-03320-1","2486; 76412","132010; 4041067","132070; 4041127"
382,"10.1007/s11104-025-07868-8","2488; 76585","132118; 4050027","132166; 4050075"
612,"10.1093/jxb/eraf336","2503; 76836","132870; 4063247","132928; 4063305"
421,"10.1080/01490451.2025.2559806","2507; 76626","133082; 4052214","133114; 4052246"
591,"10.1007/s11104-025-07878-6","2509; 76813","133171; 4061992","133235; 4062056"
552,"10.1021/acsestengg.5c00583","2518; 76769","133629; 4059678","133690; 4059739"
244,"10.1007/s12223-025-01316-x","2521; 76436","133809; 4042304","133849; 4042344"
154,"10.1007/s42729-025-02692-6","2524; 76335","133956; 4037019","134009; 4037072"
438,"10.1093/jee/toaf217","2537; 76643","134611; 4053116","134653; 4053158"
423,"10.1002/jsfa.70193","2542; 76628","134878; 4052295","134926; 4052343"
324,"10.1002/ldr.70206","2543; 76522","134927; 4046678","134986; 4046737"
162,"10.1111/een.70015","2546; 76343","135097; 4037445","135148; 4037496"
268,"10.1007/s11104-025-07861-1","2552; 76464","135404; 4043715","135459; 4043770"
271,"10.1007/s11104-025-07870-0","2580; 76468","136885; 4043923","136929; 4043967"
279,"10.1111/aab.70058","2581; 76476","136930; 4044318","136971; 4044359"
336,"10.1007/s11104-025-07796-7","2603; 76535","138103; 4047341","138153; 4047391"
632,"10.1038/s41587-025-02810-w","2606; 76864","138271; 4064720","138311; 4064760"
496,"10.1002/ldr.70132","2622; 76705","139072; 4056422","139130; 4056480"
606,"10.1007/s10725-025-01390-8","2623; 76830","139131; 4062903","139196; 4062968"
270,"10.1080/01490451.2025.2557308","2624; 76466","139197; 4043824","139249; 4043876"
528,"10.1007/s11104-025-07856-y","2625; 76742","139250; 4058283","139300; 4058333"
595,"10.1007/s41748-025-00791-z","2646; 76817","140328; 4062217","140418; 4062307"
519,"10.1007/s42729-025-02703-6","2658; 76731","140979; 4057764","141021; 4057806"
260,"10.1007/s11104-025-07850-4","2659; 76456","141022; 4043340","141065; 4043383"
549,"10.1093/inteam/vjaf102","2666; 76766","141409; 4059506","141479; 4059576"
223,"10.1007/s11104-025-07847-z","2667; 76415","141480; 4041234","141525; 4041279"
204,"10.1007/s11104-025-07839-z","2669; 76391","141578; 4040021","141627; 4040070"
294,"10.1093/aob/mcaf175","2679; 76491","142168; 4045059","142227; 4045118"
429,"10.1002/ppp3.70096","2680; 76634","142228; 4052572","142339; 4052683"
414,"10.1007/s11104-025-07849-x","2685; 76618","142543; 4051785","142603; 4051845"
666,"10.1007/s11104-025-07855-z","2701; 76904","143388; 4066737","143455; 4066804"
194,"10.1007/s11104-025-07827-3","2702; 76379","143456; 4039405","143511; 4039460"
